label,dists,AuctionID,Title,Initprice,Price,Bids
,,,,,,
0,0.850512868,w91745820,SONY VAIO VGP-SP2 PC用 スピーカー 中古 ジャンク扱 MZ2485,500,500,0
0,0.351824415,h187561233,SONY VGN-FS30B CelM 1.4GHz 256M 80G BIOSOKジャンク#410-112,1,1602,8
0,0.659231354,x341072129,SONY VAIO PCG-FR77E/B Celeron 1.7GHz ノート ジャンク N7866,1100,1650,3
0,0.351824415,w100952990,SONY VGN-FE51B/H Core2Duo 1.66GHz 1G 100G ジャンク#410-115,1,2780,73
0,0.866306678,n129829467,SONY VGN-FE53B バックライトNG ジャンク #410-114,1,3370,10
0,0.837736667,w100941845,SONY VAIO VGN-CS50B ジャンク　部品取り,2500,4000,9
0,0.351824415,w100952626,SONY VGN-FJ11B CelM 1.5GHz 512MB 60GB XP ジャンク#410-113,1,5250,38
0,0.659231354,x341072141,SONY VAIO VGN-CR51B Celeron 540 ノート ジャンク N7860,1100,5750,27
0,0.703237791,m124058513,★☆VGN-CR61B_N BIOS OK ジャンク♪♪☆★,1000,5751,19
0,0.559429683,g138047517,ジャンク　VGN-CS62JB,5000,6950,4
0,0.559429683,g138047573,ジャンク　VGN-FZ71B,5800,8550,8
0,0.59825713,b158362361,SONY VGN-NW51FB ジャンク品 Core 2 DUO/4GB/WIN7,1,10000,11
0,0.351824415,b155845398,SONY VAIO VGN-FZ61B Core2Duo T7250 2.0GHz ジャンク,100,12505,29
0,0.54238725,p399115575,★SONY VAIO VGN-CS52JB/W Vista/Core2Duo P8600 ジャンク,15000,16500,2
,,,,,,
,,,,,,
2,0.599116639,183285023,難有ＳＯＮＹ　ＶＡＩＯ　ＶＰＣＥＡ３ＡＦＪ　薄ピンク,25000,30000,8
2,0.445490313,d154027111,ジャンク2台セット　　SONY　VAIO　VGN-E92B　・　VGN-K30B,1,2200,13
2,0.819697046,w100645654,VAIO SE ソニーストアモデル（VPCSE1AJ）　新品同様　補償有,70000,81000,13
2,0.781396592,o36460548,新品 　SONY(ソニー) VAIO Fit 15E SVF15317DJB,64800,64800,0
2,0.673787895,b155847686,■【新品】SONY　VGP-BPS24　VAIO純正　ノート用バッテリパック,6000,6000,2
2,0.49986716,r113030084,ソニーバイオ　16.1インチ　　DVD　,7220,7220,0
2,0.50685393,w100947205,美品　SONY VAIO VGN-CS91HS 　　32０ＧＢ　Win8.1搭載　動作品,2000,25600,25
2,0.840109855,w100696064,&#9825;　美品　SONY VAIO VGN-CS50B Win8.1搭載　&#9825;,2000,16050,20
2,0.455378876,d153768725,VAIO VGN-FS51B　中古　可動ジャンク扱い♪　SONY　typeF,5000,5000,1
2,0.72067226,d152037104,VPCEH3AJ 2.3GHz Corei3　メモリ4GB リカバリ付　PCG-71B11N,1,26100,71
2,0.500646954,183330147,ＳＯＮＹ　VPCEE35FJ　リカバリ済み,31000,35000,7
2,0.452682763,p399936285,SONY　VGN-NW50JB　CORE2　P8700　　ジャンク,8600,14060,11
2,0.925300599,k171301210,美品　VAIO Eシリーズ VPCEL15FJ/8G増設/500GB/Win7/office2010,49800,49800,1
2,0.532140881,f139075133,美品　SONY VAIO VGN-CS90NS　　Win8.1導入　完動品,2000,29500,19
2,0.62246438,r113242513,SONY VAIO VGN-FZ61B CORE2　T7250 Windows7 32Bit 新品80G,1,14000,31
2,0.614568793,w101114997,ソニー　VAIO type N VGN-NR72B　Office付,500,24000,22
,,,,,,
,,,,,,
3,0.836550903,s234012093,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE,Z1XE/B用液晶ケーブル/Z1P-cab",689,689,0
3,0.91575356,t210726505,"GR5E/BP,GR5F/BP,GR9/K,GR3N用14.1型液晶インバーター/GR5E-inv",785,785,0
3,0.836550903,c272473882,"PCG-GR5F/BP,　GR7, G9/K, R3N/BP用液晶ケーブル/gr5fcable",885,885,0
,,,,,,
,,,,,,
4,0.835157392,183330737,＠格安！今でも人気コンボ搭載VAIOジャンク即決送料込み♪,1,1,1
4,0.735222018,n135374008,リカバリCD ■SONY VAIO PCG-GR_F/BPシリーズ用■5枚組,300,300,0
4,0.489558033,n111482923,SONY■ PCG XR100E/K ■リカバリＣＤ メール便可＠,350,350,0
4,0.698740187,t218944897,"PCG-Z1XE/B,Z1/P,Z1X/P,Z1V/P,Z1R/P用CD連接端子/Z1P-cdcon3",500,500,0
4,0.264038495,t218944893,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE,Z1XE/B用アンテナー/Z1P-an",500,500,0
4,0.932888681,x175110274,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE,Z1XE/B用ヒンジカバー/Z1P-hgc",500,500,0
4,0.932888681,c295404507,"VGN-E50B,E70B,E71B,E51B,E81B,E91B,E72B用FDD/e50b-fdd",500,500,0
4,0.654297034,t218944899,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE用DVD連接ケーブル/Z1P-dvdcon",550,550,0
4,0.827205233,j142730815,"VGN-FS53B,FS20,FS33B,FS23B,FS92,FE33用電源カバー/FS21B-pbc",585,585,0
4,0.811725319,s213638966,"PCG-NV55E/B,NV99E/B,NV90E,NV99M/BP用HD固定カバー/nv55hds",585,585,0
4,0.911799565,l105867454,"VGN-E50B,E70B,E71B,E51B,E81B,E91B,E72B用USB端子/e50b-usb",585,585,0
4,0.730230086,c272487752,"PCG-GRZ77/B,GRV99G/P,GRV88G,GRS55用バッテリカバー/grz77btc",585,585,0
4,0.932888681,t218950853,"VGN-FS31B,FS53B,FS33B,FS23,FE33,FE53用Lanコネクタ/FS31B-lcon",585,585,0
4,0.239241317,c293868775,"PCG-GR5F/BP,GR7/K,GR9,GR3N用ヒンジカバー＋螺子一部/gr5f-nj3",585,585,0
4,0.765174304,c303440549,"FS53B,FS20,FS33B,FS23B,FS92,FE33用SDボード/FS51B-sd",685,685,0
4,0.875335884,c303440141,"VGN-FS53B,FS20,FS92,FE33,FE53修理用LANコネクター/FS53B-lcon",685,685,0
4,0.91578915,c303440147,"VGN-FS53B,FS20,FS92,FE33,FE53用SDカード/FS53B-sd",685,685,0
4,0.21535351,r99270260,SONY VAIO PCG-FR55J/B HDDマウンタ + コネクタ + ねじ,800,800,0
4,0.856894238,x330169082,3525■=ソニー■VGN-NR71B用DVDスーパーマルチ(AP-7560A),950,950,1
4,0.921226869,c328754911,"新品512mb/DDR2-667/PC5300/SONY VGN-FJ10,FJ11,VGN-BX90,BX96",985,985,0
4,0.824519244,c272472480,GR7F、GR9F/P（推測）用15型液晶（SXGA)用ケーブル　gr7flcdcab,985,985,0
4,0.921226869,l140010484,"新品512mb/DDR2/PC5300/SONY VGN-FJ21,FJ22,FJ91,FJ90VGN-BX94",985,985,0
4,0.921226869,c328754897,"新品512mb/DDR2/PC5300/SONY VGN-FT50,FT51,FT91,FT93,VGN-N51",985,985,0
4,0.921226869,c328754885,"新品512mb/DDR2-667/PC5300/SONY VGN-AR510,AR82,VGN-FE51,FS22",985,985,0
4,0.921226869,c328754875,"新品512mb/DDR2-667/PC5300/SONY VGN-AS53,AS54,AR71,AR70,FS32",985,985,0
4,0.921226869,c328754881,"新品512mb/DDR2-667/PC5300/SONY VGN-AR52,AR91,AR70,AS33,FE90",985,985,0
4,0.413699637,w100118348,光興業 ノートタイプ エスエーアイ 光沢フラット SAIW-156LZ/FP,1000,1000,0
4,0.858470186,k166661100,【未使用品】 SONY type F light専用のポートリプリケーター,1200,1200,1
4,0.921226869,t314009217,"新品1GB/DDR2-667/PC5300/SONY VGN-FT50,FT51,FT91,FT93,VGN-N51",1595,1595,0
4,0.921226869,t314009221,"新品1GB/DDR2-667/PC5300/SONY VGN-AR50,AR91,VGN-FE31,FS53",1595,1595,0
4,0.921226869,t314009227,"新品1GB/DDR2-667/PC5300/SONY VGN-AS53,AS54,AR71,AR70,FS32",1595,1595,0
4,0.921226869,t314009213,"新品1GB/DDR2-667/PC5300/SONY VGN-FJ21,FJ22,FJ91,FJ90VGN-BX94",1595,1595,0
4,0.921226869,t314009215,"新品1GB/DDR2-667/PC5300/SONY VGN-FT31,FT32,FT73,FT90,VGN-N50",1595,1595,0
4,0.921226869,t314009219,"新品1GB/DDR2-667/PC5300/SONY VGN-FT53,FT73,VGN-FE20,FS92FS33",1595,1595,0
4,0.960571085,r94212254,VAIO PCG-XR_E Series リカバリディスク,1680,1680,0
4,0.94706437,l196689461,"新品512MBメモリ/144Pin/PCG-FX77Z,FX11J,FX55J,FX55Z,GR7,GR5",1975,1975,0
4,0.94706437,c335858048,"新品512MBメモリ/144Pin/PCG-FX11J,FX55J,FX55Z,FX77Z,GR9,GR3",1975,1975,0
4,0.581491434,r113282435,Vaio VPC-EA、VPC-EB用 CPUファン UDQFRZH14CF0 新品 メール便,1980,1980,0
4,0.939496815,f133823062,即日発送 Sony Vaio VGN-FSシリーズ 日本語キーボード (黑),1980,1980,1
4,0.925370775,w100773214,R408▼SONY VAIO VGN-FS23B CelM 370 1.5GHz 80GB 1GB,1000,2300,10
4,0.91010095,h185852771,VAIO PCGA-BP2V SONY純正バッテリー・動作品・PCG-Z1VEなど,2500,2500,0
4,0.211887421,d152024524,SONY PCG-Z1XE/B,1000,2720,7
4,0.985924044,k171079760,SONY VAIO PCG-Z1VE メモリ768MB HDD40GB 14.1型 SXGA+,1000,3500,15
4,0.988708776,d152021690,VGN-FJ10B Cel1.4GHz 256MB 60GB office2007 HDDリカバリ済,1000,3605,12
4,0.847814796,w101031687,SONY【VAIO】VGN-FE21/W【XP】Vista以降可（キー不備）,500,4100,17
4,0.211887421,f139177867,SONY VGN-FE30B Celeron420 1.6GHz 512MB 80GB XP DtoD#410-111,1,4705,21
4,1.015541516,d150816376,SONY VAIO 原版 VPCZ22AJ リカバリーディスク,5000,5000,0
4,0.890338896,n129865469,【中古美品】VGN-FJ92S HDD100GB リカバリ領域あり,5000,5000,1
4,0.612669419,f139117285,SONY(ソニー) VAIO WindowsXP〈VGN-AS34B〉ノートパソコン,3000,5250,11
4,0.886065225,h183231780,■新品同様・SONY VAIO VGN-FW73JGB用リカバリディスク■,5000,5500,1
4,0.936537945,w98373390,SONY VGN-E71B CelM-1.4GHz/512MB/80GBWinXPリカバリあり,6000,6000,1
4,1.015541516,d151777254,SONY VAIO 原版 VPCF247FJ/248FJ/249FJ リカバリーディスク,6000,6000,0
4,0.743880152,b157964869,【VGNーBX4KANB】画面割れ+ドッキングステーション付！,8000,8000,0
4,0.810662186,v339817682,国内即納SONY vaio VPC-EA シリーズ 日本語キーボード,8980,8980,0
4,0.805607835,w100974254,ジャンク SONY VAIO VGN-NS52JB/P BIOS確認 部品取りに 欠品有,1500,11550,13
4,0.211887421,r113197914,Sony VAIO Core2Duo 2.4GHz 2GB 250GB Windows7 Office,15000,15000,1
4,0.903179826,w100911521,中古！Sony PCG-3A1N,500,15259,15
4,0.998232389,v354887459,SONY VGN-CR92HS/Core2Duo2.1GHz/120G/DVD±RW/14WideTFT/OS無,12000,15500,7
4,0.79285901,r113243260,ワインレッドのVaio VGN-CR60B core2duo 2.2GHz、すぐ使えます*,12980,15500,5
4,0.211887421,m119418606,SONY VAIO typeF VGN-FZ61B,1000,16100,30
4,0.211887421,w101236427,SonyVaio FZ92NS Core2Duo T7250 2.0GHz Mem2.5GB 80GB Vista,1000,16259,33
4,1.007764521,v354887441,SONY VGN-NS51B/P/Core2Duo2.4GHz/320G/Sマルチ/15WideTFT/OS無,15000,17505,3
4,0.988708776,g137877925,VAIO VGN-NR51B/ 1GB/ 160GB/ Vista/リカバリ済/Office2003,18000,18000,1
4,0.211887421,r112929998,SONY VAIO/FZ52B2/Core2Duo T7500/Win-VistaHP-SP1/250GB/,19800,19800,1
4,0.726595102,s388297707,SONY PCG-7184N (VGN-NW71FB-N) Core2 2.53G/Win7 現状中古品,10000,21000,11
4,0.89421579,w101180885,SONY VAIO TV視聴VGN-FW71DBブルーレイ対応FullHD1080 vista,3000,21050,23
4,0.986461208,g138019221,SONY VAIO VGN-FZ50B メモリ4G増設 NVIDIA8400M office2007,5000,22000,16
4,0.62424068,m124181727,★Windows7/高速デュアルコア/新品HDD160G/メモリ2G/VGN-NS90HS,26800,26800,1
4,0.615912617,r113057010,極上美品 VAIO Win8.1Pro/2GB/160GB/Office2013①,1,28900,42
4,0.748787943,f139243423,●○R489 7搭載 VGN-FZ52B Core 2 Duo 2.2G/4G/250G○●,1,30500,65
4,0.903088223,v354681399,▲訳あり▲SONY VAIO VPCCW28FJ/W Core i3▲A J161167,1,31005,60
4,0.983141507,t369668843,【ハード王】SONY VAIOVPCEB48FJ/Corei3M380/4GB/500GB/Win7N657,1,34505,34
4,0.861471687,w100455004,【爆発スタ１円】レッド*SONY-VAIO-VGN-CS62JB*2GB/300GB/OFFICE,1,34800,6
4,0.960382267,v354681409,▲中古▲SONY VAIO VPCEE47FJ▲B J164266,1,35505,56
4,0.968800335,m119457728,極美品 SONY VAIO VPCEL16FJ AMD E-350/Win7/4GB/500GB,1,39500,47
4,0.9750319,g138162969,SONY Eシリーズ14P Core i5 3210M 4GB 750GB ブルーレイ Blu-ray,40000,41000,3
4,0.93308839,d152055046,美品 VAIO SVE15113FJW Pentium B970/Win7/8GB/640GB,1,44400,36
4,0.976029909,k176488559,極美品 VAIO VPCEB38FJ Core i3/Win7/4GB/500GB/eSATA端子,1,51000,55
4,0.997339573,h187590997,SONY VAIO VPCF118FJ i5/Win7/4GB/500GB/BD-RE/地デジ/FULL HD,1,55550,58
4,0.83544897,g132529534,【爆発スタ】1円*かなり美品*SONY-VAIO-VPCEG4FJ/DUAL-CORE/4GB,1,59800,36
4,0.947687494,g138082859,美品 VAIO 10周年記念 VPCZ11AFJ i7/Win7/8GB/SSD 128GB/WIMAX,1,60000,76
4,0.821798357,j290118575,1円～★美品★SONY ソニー VAIO Eシリーズ SVE15123CJW 15.5型,1,61000,70
4,0.785804402,h187466562,SONY VAIO VPCEB2AFJ Core-i5 Win7 中古動作品 オフィス2010有,29800,64500,28
4,0.976029909,w101058895,極美品 VAIO VPCEB39FJ Core i5/Win7/8GB/500GB/BD-RE/eSATA端子,1,65000,57
4,0.211887421,g132578204,SONY VAIO VPCF14AFJ 8GB 500GB COREi7 blu-ray office2010,65000,66000,4
4,0.922814317,b158372989,Core i３◎VPCCA1AFJ-Bluray/８G/新500G/無線/HDMI/B'tooth/DtoD,100,69005,65
4,0.868874373,n129726209,ソニー15型液晶/VAIO/PCG-71311N/ブルー■Core i5/Blu-ray/美品,39800,70500,24
4,0.647403664,w101137126,新品 SONY VAIO Fit 15E SVF15317DJW 4GB/1TB/15.5型 Office付き,75900,75900,1
4,0.987916334,k176617971,VAIO FIT14E SVF1421A1J/Core i5/Win8/タッチパネル/office2010,79800,79800,1
4,0.901149911,m124092451,■極上美品■SONY■VAIO■Fit15ESVF15317DJW■4GB■1TB■Office,1,80000,41
4,0.914681625,o35879930,限定1台★ノートPC SONY VAIO Fit 15E SVF1521BAJ/新品保証付,82580,82580,0
4,0.858700898,s376375136,限定1台★SONY VAIO Fit 15E SVF15317DJW ホワイト/新品保証付,88060,88060,0
4,0.913653919,t369888387,美品■SVT1412AJ Corei7 3537U 2.0GHz/SSD512G/8G/BDXL/Win8PRO,108000,108000,1
4,0.918657152,s388169167,限定1台★SONY VAIO Fit 15A SVF15N17DJP ピンク/新品保証付,122480,122480,0
4,0.916257502,t359954032,爆安祭★SONY SVF15N18DJS [シルバー] ★開封品/Office/保証１年,123800,123800,0
4,0.923051314,o36512514,限定1台★SONY VAIO Fit 15A SVF15N17DJB ブラック/新品保証付,124380,124380,0
4,0.916095345,p399564299,限定1台★SONY VAIO Fit SVF14A19CJS シルバー/新品保証付,130780,130780,0
4,0.968800335,d154060489,極美品 VAIO SVS15129CJS i7/Win8/12GB/256GB/BD-RE/GT640M LE,1,142000,51
4,0.923051314,t360598314,限定1台★SONY VAIO Fit 15A SVF15N28EJB ブラック/新品保証付,160080,160080,0
4,0.916095345,s388704217,限定1台★SONY VAIO Fit 15A SVF15N28EJS シルバー/新品保証付,162580,162580,0
,,,,,,
,,,,,,
6,0.195353157,o36393629,★新品★SONY VGP-BPS2C VGP-BPL2A/S BPS2A/S対応バッテリー,4000,4000,0
6,0.195353157,o36393627,★新品★SONY VGP-BPL5 BPL5A BPS5 BPS5A対応バッテリー6600mAh,4200,4200,0
6,0.195353157,o36393631,★新品★Sony BPS2 VGP-BPS2A VGP-BPL2/BPL2C対応バッテリー,4800,4800,0
6,0.195353157,o36393621,★新品★SONY VGP-BPS26A BPS26 BPL26対応バッテリー4400mAh,5000,5000,0
6,0.195353157,o36393643,★新品★SONY VPC-CW VGP-BPL13 BPS13対応バッテリー4400mAh,5000,5000,0
6,0.195353157,o36393641,★新品★SONY VGP-BPS13B BPS13/Q BPS13A対応バッテリー4400mAh,5000,5000,0
6,0.195353157,o36393633,★新品★SONY VGP-BPS22 EB13 EB15対応バッテリー4400mAh,5000,5000,0
6,0.195353157,o36393639,★新品★SONY VGP-BPL18 BPS18対応バッテリー4400mAh,5100,5100,0
,,,,,,
,,,,,,
7,0.667075162,w100104890,★VAIO VGP-AC19V13★ACアダプタ/VGN-N/VGN-FE/VGN-C,1500,1500,1
7,0.798850531,s387975179,★SONYソニー★VAIOノートパソコンPCG-791N XP対応モデル◆CEGC,1000,1700,5
7,0.667075162,h187491511,ACアダプタ★SONY VAIO★VGP-AC19V19,1800,1800,2
7,0.45034949,s388861451,★ジャンク★SONY★VAIO VGN-FE30B★未チェック★F J163182,2000,4500,13
7,0.45034949,s388861453,★ジャンク★SONY★VAIO VGN-FS50B★未チェック★F J164662,2000,4555,8
7,0.45034949,s388861475,★ジャンク★SONY★VAIO VGN-FJ11B★未チェック★F J164625,2000,4766,19
7,0.622559544,m124170291,中古★SONY★ノートPC★PCG-7U1N,5000,5000,1
7,0.745838556,g132519520,★ジャンク★ VAIO VGN-FZ72B Coer2Duo T7500 2.2GHｚ 15.4型BD,1,11500,18
7,0.463290101,s376412022,"★VAIO VPCEE34FJ：AMD 2.2GHz,2GB,320GB,15.5★ジャンク",4000,15500,18
7,0.855961246,k171245270,部品取りジャンク★SONY VAIO Eseries VPCEB29FJ★Core i5 450M,1000,16600,37
7,0.70424135,w101499055,★SONY VAIO VPCEE47FJ Win7 高性能ノートPC メモリ4GB 500GB★,1,17000,27
7,0.755692615,178088342,♪Win7搭載♪美白♪VAIO★高性能CPU★320GB★VGN-N50HB,26800,28800,2
7,0.71221122,k176575533,★ Windows7/HDMI/Core2Duo2.53/新品500G/4G/Bluray/VGN-NW70JB,39800,39800,0
7,0.386325745,r113023110,VAIO VGN-NW50JB★C2D P8700/500GB/4GB/HDMI/Win7/Office2010,1,48500,38
7,0.386325745,g132394214,VAIO VPCCB28★Core i5 2410M/640GB/4GB/HDMI/Win7/Office2010,1,51900,55
7,0.386325745,w101213345,VAIO VPCEB28FJ★Core i3/500GB/4GB/HDMI/Win7/Office2010,1,55000,42
7,0.386325745,n129822103,VAIO SVE14A1AJ★Core i5 2450M/500GB/4GB/HDMI/Win7/Office2010,1,55200,60
7,0.386325745,f133699118,VAIO VPCEB17FJ★Core i3/500GB/4GB/HDMI/Win7/Office2010,1,56000,69
7,0.386325745,n135348338,VAIO VPCEB49FJ★Core i5/500GB/4GB/HDMI/Win7/Office2010,1,57000,65
7,0.386325745,g138045897,VAIO SVE15125CJ★Core i5 3210M/1000GB/8GB/HDMI/Office2013,1,69000,42
7,0.512650529,h187427628,SONY★VAIO★VPCEB48FJ★メモリ４GBHDD５００GB★1円スタート！,1,75000,97
7,0.386325745,b158258769,VAIO SVE15127CJ★Core i7 3632QM/1000GB/8GB/HDMI/Office2013,1,75000,68
7,0.752930995,w100816040,未使用★SVE15125CJW★Core i5 3210M/1000GB/4GB/HDMI/BD/Office,1,78000,46
7,0.712744616,w101430763,★新品・未開封 ソニーVAIO Fit15E Corei7 8G Win7 HDD500★,1,81000,69
,,,,,,
,,,,,,
8,0.846560306,c293868779,"PCG-GR5F/BP,GR7/K,GR9/K,GR3N/BP用CPUファン/gr5f-fan3",585,585,0
8,0.506275756,h187508161,【新品☆送料140円】SONY VGN-CS CPU ファン MCF-C29BM05,1300,1300,1
,,,,,,
,,,,,,
9,0.567766474,w101164395,☆ SONY VGN-AS53B ☆ 512MB/DVDマルチ/PentiumM-1.73GHz,2000,2000,0
9,0.567766474,g138023815,"☆ SONY VGN-E92B/B , PCG-9V1N ☆ DVDマルチ/PentiumM-1.7GHz",2000,2000,0
9,0.382729163,d154112087,☆ SONY VGN-FE90S ☆ 512MB/DVD CD-RW/IntelCeleron M-1.6GHz,2000,2100,2
9,0.705861832,e135638853,☆修理パーツ☆SONY VAIO PCG-VX7/BD等 KU-03294V-0 インバータ,4980,4980,0
9,0.705861832,k156845846,☆修理パーツ☆SONYVAIO PCG-VX7/BD等 KU-03294V-0 インバータ(2,4980,4980,0
9,0.734445789,169428211,☆修理パーツ☆SONY VAIO PCG-VX7/BD等TX36D72VC1FAA 液晶パネル,6980,6980,0
9,0.343261492,w101085974,☆便利☆TV機能付き☆ソニー☆VAIO☆PC☆ノートブック☆,9000,9000,1
9,0.628168559,w98571110,☆SONY VAIO VGN-N50HB☆リカバリー内臓☆,13357,13357,1
9,0.581222994,w101102338,☆ VPCEE25FJ Win7 Athl2-P320 スーパマルチ リカバリ品 ☆,10000,21000,12
9,0.47724646,w101140587,☆中古美品☆SONY VGN-FW71DBW☆Core2Duo P8400☆,1,29500,36
9,0.384813709,h185850178,☆美品☆VAIO VGN-FW91S　チタングレー☆VAIO OWNER MADE☆,40000,40000,0
